subjid,session,trialno,texpr,validity,pexpr,stimf,sex,id,onset,dur,corr_resp,subj_resp,accuracy,rt
mm_,1,71,ekl,valid,ekl,ekl99w26.avi,9,9w,76.854,0.800,1,,miss,
mm_,1,151,fre,valid,fre,fre99w18.avi,9,9w,77.668,0.800,1,,miss,
mm_,1,120,fre,invalid,ekl,ekl99m23.avi,9,9m,78.454,0.800,1,,miss,
mm_,1,33,fre,valid,fre,fre99w01.avi,9,9w,79.272,0.800,1,,miss,
mm_,1,109,ekl,valid,ekl,ekl99w04.avi,9,9w,80.053,0.800,1,,miss,
mm_,1,67,ekl,valid,ekl,ekl99m21.avi,9,9m,80.868,0.800,1,,miss,
mm_,1,48,ekl,invalid,fre,fre99m49.avi,9,9m,81.664,0.800,1,,miss,
mm_,1,145,fre,valid,fre,fre99w58.avi,9,9w,82.454,0.800,1,,miss,
mm_,1,14,ekl,invalid,fre,fre99m33.avi,9,9m,83.253,0.800,1,,miss,
mm_,1,131,ekl,invalid,fre,fre99m03.avi,9,9m,84.054,0.800,1,,miss,
mm_,1,22,fre,valid,fre,fre99m30.avi,9,9m,84.872,0.800,1,,miss,
mm_,1,62,ekl,invalid,fre,fre99m23.avi,9,9m,85.676,0.800,1,,miss,
mm_,1,25,ekl,valid,ekl,ekl99w22.avi,9,9w,86.474,0.800,1,,miss,
mm_,1,104,ekl,valid,ekl,ekl99w56.avi,9,9w,87.254,0.800,1,,miss,
mm_,1,73,ekl,valid,ekl,ekl99m71.avi,9,9m,88.053,0.800,1,,miss,
mm_,1,159,ekl,valid,ekl,ekl99m30.avi,9,9m,88.870,0.800,1,,miss,
mm_,1,40,fre,valid,fre,fre99m15.avi,9,9m,89.653,0.800,1,,miss,
mm_,1,141,ekl,valid,ekl,ekl99w18.avi,9,9w,90.474,0.800,1,,miss,
mm_,1,138,fre,valid,fre,fre99w31.avi,9,9w,91.253,0.800,1,,miss,
mm_,1,76,ekl,valid,ekl,ekl99w18.avi,9,9w,92.053,0.800,1,,miss,
mm_,1,115,fre,valid,fre,fre99m05.avi,9,9m,92.853,0.800,1,,miss,
mm_,1,108,ekl,valid,ekl,ekl99m07.avi,9,9m,93.726,0.800,1,,miss,
mm_,1,94,ekl,invalid,fre,fre99m21.avi,9,9m,94.469,0.800,1,,miss,
mm_,1,111,fre,invalid,ekl,ekl99m03.avi,9,9m,95.273,0.800,1,,miss,
mm_,1,86,ekl,valid,ekl,ekl99m47.avi,9,9m,96.059,0.800,1,,miss,
mm_,1,17,ekl,valid,ekl,ekl99w58.avi,9,9w,96.854,0.800,1,,miss,
mm_,1,135,fre,valid,fre,fre99w57.avi,9,9w,97.660,0.800,1,,miss,
mm_,1,157,fre,valid,fre,fre99w12.avi,9,9w,98.474,0.800,1,,miss,
mm_,1,114,fre,invalid,ekl,ekl99m47.avi,9,9m,99.253,0.800,1,,miss,
mm_,1,128,fre,valid,fre,fre99m38.avi,9,9m,100.072,0.800,1,,miss,
mm_,1,68,fre,invalid,ekl,ekl99m28.avi,9,9m,100.998,0.800,1,,miss,
mm_,1,15,ekl,valid,ekl,ekl99m36.avi,9,9m,101.652,0.800,1,,miss,
mm_,1,4,ekl,valid,ekl,ekl99w14.avi,9,9w,102.471,0.800,1,,miss,
mm_,1,60,fre,invalid,ekl,ekl99m10.avi,9,9m,103.252,0.800,1,,miss,
mm_,1,112,ekl,valid,ekl,ekl99m09.avi,9,9m,104.052,0.800,1,,miss,
mm_,1,91,fre,valid,fre,fre99w02.avi,9,9w,104.864,0.800,1,,miss,
mm_,1,55,fre,valid,fre,fre99m28.avi,9,9m,105.675,0.800,1,,miss,
mm_,1,93,fre,valid,fre,fre99w18.avi,9,9w,106.454,0.800,1,,miss,
mm_,1,54,fre,valid,fre,fre99m20.avi,9,9m,107.266,0.800,1,,miss,
mm_,1,12,fre,valid,fre,fre99m23.avi,9,9m,108.054,0.800,1,,miss,
mm_,1,143,ekl,valid,ekl,ekl99m47.avi,9,9m,108.851,0.800,1,,miss,
mm_,1,18,ekl,invalid,fre,fre99m10.avi,9,9m,109.790,0.800,1,,miss,
mm_,1,152,ekl,valid,ekl,ekl99w31.avi,9,9w,110.459,0.800,1,,miss,
mm_,1,117,ekl,invalid,fre,fre99m23.avi,9,9m,111.253,0.800,1,,miss,
mm_,1,142,ekl,valid,ekl,ekl99m15.avi,9,9m,112.076,0.800,1,,miss,
mm_,1,156,fre,valid,fre,fre99m49.avi,9,9m,112.853,0.800,1,,miss,
mm_,1,116,fre,valid,fre,fre99m09.avi,9,9m,113.654,0.800,1,,miss,
mm_,1,134,fre,valid,fre,fre99m24.avi,9,9m,114.577,0.800,1,,miss,
mm_,1,58,ekl,valid,ekl,ekl99m23.avi,9,9m,115.253,0.800,1,,miss,
mm_,1,34,fre,valid,fre,fre99m23.avi,9,9m,116.050,0.800,1,,miss,
mm_,1,132,fre,valid,fre,fre99w37.avi,9,9w,116.867,0.800,1,,miss,
mm_,1,118,fre,valid,fre,fre99w32.avi,9,9w,117.654,0.800,1,,miss,
mm_,1,99,ekl,invalid,fre,fre99m20.avi,9,9m,118.453,0.800,1,,miss,
mm_,1,95,fre,valid,fre,fre99w37.avi,9,9w,119.251,0.800,1,,miss,
mm_,1,81,fre,valid,fre,fre99m46.avi,9,9m,120.249,0.800,1,,miss,
mm_,1,149,ekl,invalid,fre,fre99m38.avi,9,9m,120.852,0.800,1,,miss,
mm_,1,107,ekl,valid,ekl,ekl99m24.avi,9,9m,121.652,0.800,1,,miss,
mm_,1,92,ekl,valid,ekl,ekl99m24.avi,9,9m,122.727,0.800,1,,miss,
mm_,1,77,fre,valid,fre,fre99w01.avi,9,9w,123.264,0.800,1,,miss,
mm_,1,52,fre,valid,fre,fre99m49.avi,9,9m,124.054,0.800,1,,miss,
mm_,1,155,fre,valid,fre,fre99w31.avi,9,9w,124.855,0.800,1,,miss,
mm_,1,27,ekl,valid,ekl,ekl99w57.avi,9,9w,125.707,0.800,1,,miss,
mm_,1,137,ekl,valid,ekl,ekl99w18.avi,9,9w,126.453,0.800,1,,miss,
mm_,1,85,ekl,valid,ekl,ekl99m71.avi,9,9m,127.253,0.800,1,,miss,
mm_,1,64,fre,invalid,ekl,ekl99m21.avi,9,9m,0.143,3.200,1,,miss,
mm_,1,4,fre,valid,fre,fre99m09.avi,9,9m,3.286,3.200,1,,miss,
mm_,1,131,fre,valid,fre,fre99w32.avi,9,9w,6.469,3.200,1,,miss,
mm_,1,41,ekl,valid,ekl,ekl99w18.avi,9,9w,9.665,3.200,1,,miss,
mm_,1,91,ekl,invalid,fre,fre99m24.avi,9,9m,12.870,3.200,1,,miss,
mm_,1,14,ekl,invalid,fre,fre99m10.avi,9,9m,16.072,3.200,1,,miss,
mm_,1,13,ekl,valid,ekl,ekl99w57.avi,9,9w,19.269,3.200,1,,miss,
mm_,1,43,ekl,valid,ekl,ekl99m71.avi,9,9m,22.454,3.200,1,,miss,
mm_,1,21,ekl,valid,ekl,ekl99w37.avi,9,9w,25.667,3.200,1,,miss,
mm_,1,55,fre,valid,fre,fre99m49.avi,9,9m,28.867,3.200,1,,miss,
mm_,1,73,fre,valid,fre,fre99w01.avi,9,9w,32.067,3.200,1,,miss,
mm_,1,11,ekl,valid,ekl,ekl99w16.avi,9,9w,35.266,3.200,1,,miss,
mm_,1,72,fre,valid,fre,fre99w31.avi,9,9w,38.471,3.200,1,,miss,
mm_,1,102,ekl,valid,ekl,ekl99w37.avi,9,9w,41.654,3.200,1,,miss,
mm_,1,28,fre,valid,fre,fre99w02.avi,9,9w,44.867,3.200,1,,miss,
mm_,1,25,fre,invalid,ekl,ekl99m24.avi,9,9m,48.061,3.200,1,,miss,
mm_,1,153,ekl,valid,ekl,ekl99m38.avi,9,9m,51.255,3.200,1,,miss,
mm_,1,129,fre,invalid,ekl,ekl99m03.avi,9,9m,54.455,3.200,1,,miss,
mm_,1,112,fre,valid,fre,fre99m30.avi,9,9m,57.797,3.200,1,,miss,
mm_,1,141,ekl,valid,ekl,ekl99m28.avi,9,9m,60.868,3.200,1,,miss,
mm_,1,18,ekl,valid,ekl,ekl99m71.avi,9,9m,64.051,3.200,1,,miss,
mm_,1,38,fre,invalid,ekl,ekl99m49.avi,9,9m,67.267,3.200,1,,miss,
mm_,1,121,fre,valid,fre,fre99w26.avi,9,9w,70.536,3.200,1,,miss,
mm_,1,127,fre,valid,fre,fre99m33.avi,9,9m,73.673,3.200,1,,miss,
mm_,1,98,fre,invalid,ekl,ekl99m23.avi,9,9m,76.853,3.200,1,,miss,
mm_,1,85,fre,valid,fre,fre99m23.avi,9,9m,80.059,3.200,1,,miss,
mm_,1,147,fre,invalid,ekl,ekl99m09.avi,9,9m,83.369,3.200,1,,miss,
mm_,1,159,ekl,valid,ekl,ekl99m30.avi,9,9m,86.472,3.200,1,,miss,
mm_,1,128,ekl,valid,ekl,ekl99m46.avi,9,9m,89.667,3.200,1,,miss,
mm_,1,97,ekl,valid,ekl,ekl99m33.avi,9,9m,92.854,3.200,1,,miss,
mm_,1,82,fre,valid,fre,fre99m10.avi,9,9m,96.051,3.200,1,,miss,
mm_,1,89,fre,invalid,ekl,ekl99m71.avi,9,9m,99.254,3.200,1,,miss,
mm_,1,27,fre,valid,fre,fre99m03.avi,9,9m,102.470,3.200,1,,miss,
mm_,1,67,ekl,valid,ekl,ekl99m23.avi,9,9m,105.653,3.200,1,,miss,
mm_,1,58,ekl,valid,ekl,ekl99m05.avi,9,9m,108.867,3.200,1,,miss,
mm_,1,65,ekl,invalid,fre,fre99m09.avi,9,9m,112.051,3.200,1,,miss,
mm_,1,26,fre,valid,fre,fre99m15.avi,9,9m,115.271,3.200,1,,miss,
mm_,1,77,ekl,valid,ekl,ekl99m09.avi,9,9m,118.453,3.200,1,,miss,
mm_,1,37,ekl,valid,ekl,ekl99w26.avi,9,9w,121.797,3.200,1,,miss,
mm_,1,19,ekl,invalid,fre,fre99m23.avi,9,9m,124.854,3.200,1,,miss,
mm_,1,74,fre,valid,fre,fre99w58.avi,9,9w,128.073,3.200,1,,miss,
mm_,1,105,fre,valid,fre,fre99m71.avi,9,9m,131.266,3.200,1,,miss,
mm_,1,111,ekl,invalid,fre,fre99m10.avi,9,9m,134.453,3.200,1,,miss,
mm_,1,5,ekl,valid,ekl,ekl99w26.avi,9,9w,137.653,3.200,1,,miss,
mm_,1,2,fre,invalid,ekl,ekl99m24.avi,9,9m,140.854,3.200,1,,miss,
mm_,1,12,fre,valid,fre,fre99m38.avi,9,9m,144.066,3.200,1,,miss,
mm_,1,57,fre,valid,fre,fre99w04.avi,9,9w,147.266,3.200,1,,miss,
mm_,1,158,fre,invalid,ekl,ekl99m03.avi,9,9m,150.453,3.200,1,,miss,
mm_,1,142,fre,invalid,ekl,ekl99m38.avi,9,9m,153.654,3.200,1,,miss,
mm_,1,137,fre,valid,fre,fre99w08.avi,9,9w,156.868,3.200,1,,miss,
mm_,1,107,fre,valid,fre,fre99w22.avi,9,9w,160.053,3.200,1,,miss,
mm_,1,29,fre,valid,fre,fre99w16.avi,9,9w,163.272,3.200,1,,miss,
mm_,1,54,fre,valid,fre,fre99w12.avi,9,9w,166.454,3.200,1,,miss,
mm_,1,115,ekl,valid,ekl,ekl99w32.avi,9,9w,169.700,3.200,1,,miss,
mm_,1,78,fre,valid,fre,fre99m21.avi,9,9m,172.875,3.200,1,,miss,
mm_,1,96,ekl,valid,ekl,ekl99m47.avi,9,9m,176.066,3.200,1,,miss,
mm_,1,79,ekl,valid,ekl,ekl99m21.avi,9,9m,179.258,3.200,1,,miss,
mm_,1,113,fre,valid,fre,fre99m49.avi,9,9m,182.454,3.200,1,,miss,
mm_,1,17,ekl,valid,ekl,ekl99m15.avi,9,9m,185.665,3.200,1,,miss,
mm_,1,40,fre,valid,fre,fre99w57.avi,9,9w,188.870,3.200,1,,miss,
mm_,1,144,ekl,valid,ekl,ekl99w14.avi,9,9w,192.163,3.200,1,,miss,
mm_,1,106,fre,valid,fre,fre99m25.avi,9,9m,195.274,3.200,1,,miss,
mm_,1,75,fre,valid,fre,fre99w01.avi,9,9w,198.453,3.200,1,,miss,
mm_,1,157,ekl,valid,ekl,ekl99m36.avi,9,9m,201.756,3.200,1,,miss,
mm_,1,143,fre,invalid,ekl,ekl99m15.avi,9,9m,204.853,3.200,1,,miss,
mm_,1,81,fre,valid,fre,fre99w12.avi,9,9w,208.052,3.200,1,,miss,
mm_,1,146,ekl,valid,ekl,ekl99w27.avi,9,9w,211.266,3.200,1,,miss,
mm_,1,44,ekl,valid,ekl,ekl99m24.avi,9,9m,214.452,3.200,1,,miss,
mm_,1,3,fre,valid,fre,fre99w61.avi,9,9w,217.653,3.200,1,,miss,
mm_,1,118,fre,valid,fre,fre99w27.avi,9,9w,220.873,3.200,1,,miss,
mm_,1,71,ekl,valid,ekl,ekl99w58.avi,9,9w,224.072,3.200,1,,miss,
mm_,1,48,ekl,valid,ekl,ekl99w16.avi,9,9w,227.254,3.200,1,,miss,
mm_,1,99,ekl,valid,ekl,ekl99m46.avi,9,9m,230.453,3.200,1,,miss,
mm_,1,125,ekl,invalid,fre,fre99m03.avi,9,9m,233.654,3.200,1,,miss,
mm_,1,120,fre,valid,fre,fre99m20.avi,9,9m,236.855,3.200,1,,miss,
mm_,1,34,ekl,valid,ekl,ekl99m15.avi,9,9m,240.052,3.200,1,,miss,
mm_,1,53,fre,valid,fre,fre99m07.avi,9,9m,243.319,3.200,1,,miss,
mm_,1,50,ekl,valid,ekl,ekl99m49.avi,9,9m,246.457,3.200,1,,miss,
mm_,1,36,ekl,invalid,fre,fre99m38.avi,9,9m,249.654,3.200,1,,miss,
mm_,1,151,ekl,valid,ekl,ekl99m10.avi,9,9m,252.869,3.200,1,,miss,
mm_,1,149,ekl,valid,ekl,ekl99m07.avi,9,9m,256.094,3.200,1,,miss,
mm_,1,140,fre,valid,fre,fre99w02.avi,9,9w,259.254,3.200,1,,miss,
mm_,1,133,fre,valid,fre,fre99w37.avi,9,9w,262.469,3.200,1,,miss,
mm_,1,148,ekl,valid,ekl,ekl99w32.avi,9,9w,265.655,3.200,1,,miss,
mm_,1,134,ekl,valid,ekl,ekl99m28.avi,9,9m,268.854,3.200,1,,miss,
mm_,1,66,fre,valid,fre,fre99m49.avi,9,9m,272.055,3.200,1,,miss,
mm_,1,88,fre,valid,fre,fre99m33.avi,9,9m,275.254,3.200,1,,miss,
